#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD973B
#Date Time: 2021-05-02 20:39:04.320
#Sample rate: 2.12766e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.3371 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1 V/div Offset: -2.9 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: -2 V
#Offset: 2 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 2 (V)
-0.00015275,-0.0090425088587196
-0.00015228,-0.016505048985338
-0.00015181,-0.016505048985338
-0.00015134,-0.016505048985338
-0.00015087,-0.016505048985338
-0.0001504,-0.016505048985338
-0.00014993,-0.0127737789220288
-0.00014946,-0.0127737789220288
-0.00014899,-0.0090425088587196
-0.00014852,-0.0053112387954104
-0.00014805,-0.0053112387954104
-0.00014758,-0.0053112387954104
-0.00014711,-0.0053112387954104
-0.00014664,-0.0090425088587196
-0.00014617,-0.0090425088587196
-0.0001457,-0.0090425088587196
-0.00014523,-0.0127737789220288
-0.00014476,-0.0127737789220288
-0.00014429,-0.0127737789220288
-0.00014382,-0.0090425088587196
-0.00014335,-0.0127737789220288
-0.00014288,-0.0127737789220288
-0.00014241,-0.0090425088587196
-0.00014194,-0.0090425088587196
-0.00014147,-0.0090425088587196
-0.000141,-0.0127737789220288
-0.00014053,-0.0127737789220288
-0.00014006,-0.0090425088587196
-0.00013959,-0.0090425088587196
-0.00013912,-0.0090425088587196
-0.00013865,-0.0053112387954104
-0.00013818,-0.0127737789220288
-0.00013771,-0.0127737789220288
-0.00013724,-0.0127737789220288
-0.00013677,-0.0127737789220288
-0.0001363,-0.0127737789220288
-0.00013583,-0.0127737789220288
-0.00013536,-0.0127737789220288
-0.00013489,-0.0127737789220288
-0.00013442,-0.0127737789220288
-0.00013395,-0.0127737789220288
-0.00013348,-0.0127737789220288
-0.00013301,-0.0090425088587196
-0.00013254,-0.0127737789220288
-0.00013207,-0.0127737789220288
-0.0001316,-0.0127737789220288
-0.00013113,-0.016505048985338
-0.00013066,-0.016505048985338
-0.00013019,-0.0127737789220288
-0.00012972,-0.016505048985338
-0.00012925,-0.016505048985338
-0.00012878,-0.0127737789220288
-0.00012831,-0.016505048985338
-0.00012784,-0.0127737789220288
-0.00012737,-0.0127737789220288
-0.0001269,-0.016505048985338
-0.00012643,-0.0090425088587196
-0.00012596,-0.0127737789220288
-0.00012549,-0.0127737789220288
-0.00012502,-0.0090425088587196
-0.00012455,-0.0127737789220288
-0.00012408,-0.0127737789220288
-0.00012361,-0.0090425088587196
-0.00012314,-0.0127737789220288
-0.00012267,-0.0127737789220288
-0.0001222,-0.0127737789220288
-0.00012173,-0.0090425088587196
-0.00012126,-0.0090425088587196
-0.00012079,-0.0090425088587196
-0.00012032,-0.0053112387954104
-0.00011985,-0.0090425088587196
-0.00011938,-0.016505048985338
-0.00011891,-0.0053112387954104
-0.00011844,-0.0090425088587196
-0.00011797,-0.0090425088587196
-0.0001175,-0.0090425088587196
-0.00011703,-0.0053112387954104
-0.00011656,-0.0090425088587196
-0.00011609,-0.0127737789220288
-0.00011562,-0.0127737789220288
-0.00011515,-0.0090425088587196
-0.00011468,-0.0127737789220288
-0.00011421,-0.0090425088587196
-0.00011374,-0.0090425088587196
-0.00011327,-0.0127737789220288
-0.0001128,-0.0127737789220288
-0.00011233,-0.0127737789220288
-0.00011186,-0.0090425088587196
-0.00011139,-0.0127737789220288
-0.00011092,-0.016505048985338
-0.00011045,-0.0127737789220288
-0.00010998,-0.0127737789220288
-0.00010951,-0.0090425088587196
-0.00010904,-0.0127737789220288
-0.00010857,-0.0090425088587196
-0.0001081,-0.0090425088587196
-0.00010763,-0.0090425088587196
-0.00010716,-0.0090425088587196
-0.00010669,-0.0127737789220288
-0.00010622,-0.0127737789220288
-0.00010575,-0.0202363190486472
-0.00010528,-0.0127737789220288
-0.00010481,-0.0127737789220288
-0.00010434,-0.016505048985338
-0.00010387,-0.0090425088587196
-0.0001034,-0.0127737789220288
-0.00010293,-0.0127737789220288
-0.00010246,-0.0090425088587196
-0.00010199,-0.0127737789220288
-0.00010152,-0.016505048985338
-0.00010105,-0.0127737789220288
-0.00010058,-0.016505048985338
-0.00010011,-0.0127737789220288
-9.963999999999999e-05,-0.0127737789220288
-9.916999999999999e-05,-0.0090425088587196
-9.870000000000001e-05,-0.0127737789220288
-9.823000000000001e-05,-0.0090425088587196
-9.776000000000001e-05,-0.0053112387954104
-9.729000000000001e-05,-0.0053112387954104
-9.682000000000001e-05,-0.0015799687321012
-9.635000000000001e-05,-0.0053112387954104
-9.588000000000001e-05,-0.0127737789220288
-9.541000000000001e-05,-0.0127737789220288
-9.494000000000001e-05,-0.0127737789220288
-9.447000000000001e-05,-0.016505048985338
-9.400000000000001e-05,-0.016505048985338
-9.353000000000001e-05,-0.0090425088587196
-9.306000000000001e-05,-0.0090425088587196
-9.259000000000001e-05,-0.0127737789220288
-9.212000000000001e-05,-0.0127737789220288
-9.165000000000001e-05,-0.0090425088587196
-9.118e-05,-0.0090425088587196
-9.071e-05,-0.0127737789220288
-9.024e-05,-0.0127737789220288
-8.977e-05,-0.0127737789220288
-8.93e-05,-0.0090425088587196
-8.883e-05,-0.0053112387954104
-8.836e-05,-0.0127737789220288
-8.789e-05,-0.0127737789220288
-8.742e-05,-0.0090425088587196
-8.695e-05,-0.0090425088587196
-8.648e-05,-0.0090425088587196
-8.601e-05,-0.0053112387954104
-8.554e-05,-0.0090425088587196
-8.507e-05,-0.0127737789220288
-8.46e-05,-0.0090425088587196
-8.413e-05,-0.016505048985338
-8.366e-05,-0.0127737789220288
-8.318999999999999e-05,-0.0090425088587196
-8.271999999999999e-05,-0.0090425088587196
-8.224999999999999e-05,-0.0127737789220288
-8.177999999999999e-05,-0.0090425088587196
-8.130999999999999e-05,-0.016505048985338
-8.083999999999999e-05,-0.0127737789220288
-8.036999999999999e-05,-0.0127737789220288
-7.989999999999999e-05,-0.0090425088587196
-7.942999999999999e-05,-0.0090425088587196
-7.895999999999999e-05,-0.0090425088587196
-7.848999999999999e-05,-0.0127737789220288
-7.801999999999999e-05,-0.0127737789220288
-7.754999999999999e-05,-0.016505048985338
-7.707999999999999e-05,-0.0127737789220288
-7.661000000000001e-05,-0.0090425088587196
-7.614000000000001e-05,-0.0053112387954104
-7.567000000000001e-05,-0.0090425088587196
-7.520000000000001e-05,-0.0090425088587196
-7.473000000000001e-05,-0.0127737789220288
-7.426000000000001e-05,-0.0090425088587196
-7.379000000000001e-05,-0.0090425088587196
-7.332000000000001e-05,-0.0127737789220288
-7.285000000000001e-05,-0.0090425088587196
-7.238000000000001e-05,-0.0053112387954104
-7.191000000000001e-05,0.1924460745599781
-7.144000000000001e-05,0.7372115038031235
-7.097000000000001e-05,1.386452494818927
-7.050000000000001e-05,1.968530624695164
-7.003000000000001e-05,2.453595732925362
-6.956e-05,2.834185279382902
-6.909e-05,3.132686884447639
-6.862e-05,3.352831818182883
-6.815e-05,3.520738971031798
-6.768e-05,3.643870883121002
-6.721e-05,3.740883904767041
-6.674e-05,3.815509306033225
-6.627e-05,3.871478356982864
-6.58e-05,3.912522327679265
-6.533e-05,3.949835028312357
-6.486e-05,3.968491378628904
-6.439e-05,3.990878999008759
-6.392e-05,4.002072809198687
-6.345e-05,4.016997889451924
-6.298e-05,4.028191699641851
-6.251e-05,4.035654239768469
-6.204e-05,4.035654239768469
-6.156999999999999e-05,4.039385509831778
-6.109999999999999e-05,4.039385509831778
-6.062999999999999e-05,4.043116779895088
-6.015999999999999e-05,4.043116779895088
-5.968999999999999e-05,4.043116779895088
-5.921999999999999e-05,4.050579320021706
-5.874999999999999e-05,4.050579320021706
-5.827999999999999e-05,4.054310590085016
-5.780999999999999e-05,4.058041860148324
-5.733999999999999e-05,4.058041860148324
-5.686999999999999e-05,4.058041860148324
-5.639999999999999e-05,4.050579320021706
-5.592999999999999e-05,4.050579320021706
-5.545999999999999e-05,4.050579320021706
-5.498999999999999e-05,4.054310590085016
-5.452000000000001e-05,4.054310590085016
-5.405000000000001e-05,4.058041860148324
-5.358000000000001e-05,4.054310590085016
-5.311000000000001e-05,4.058041860148324
-5.264000000000001e-05,4.054310590085016
-5.217000000000001e-05,4.058041860148324
-5.170000000000001e-05,4.054310590085016
